BLOSUM62-conditional probabilities
0.039 0.003 0.019 0.046 0.010 0.025 0.023 0.015 0.122 0.034 0.012 0.033 0.018 0.058 0.423 0.052 0.029 0.024 0.003 0.012 
0.102 0.008 0.036 0.043 0.014 0.046 0.011 0.019 0.040 0.031 0.011 0.043 0.023 0.027 0.035 0.389 0.077 0.031 0.003 0.011 
0.069 0.008 0.024 0.041 0.013 0.022 0.010 0.037 0.038 0.042 0.015 0.041 0.022 0.026 0.023 0.093 0.417 0.042 0.003 0.015 
0.056 0.009 0.010 0.023 0.021 0.013 0.006 0.170 0.022 0.098 0.025 0.012 0.018 0.015 0.019 0.038 0.043 0.387 0.005 0.012 
0.021 0.005 0.007 0.012 0.045 0.019 0.009 0.016 0.012 0.036 0.013 0.009 0.010 0.016 0.014 0.020 0.016 0.025 0.625 0.071 
0.027 0.004 0.013 0.016 0.115 0.012 0.032 0.029 0.021 0.047 0.012 0.016 0.012 0.014 0.018 0.025 0.029 0.023 0.025 0.511 

BLOSUM50-conditional probabilities
0.242 0.014 0.034 0.051 0.021 0.069 0.014 0.046 0.048 0.059 0.019 0.036 0.040 0.032 0.033 0.092 0.058 0.066 0.006 0.020 
0.065 0.368 0.023 0.034 0.028 0.037 0.012 0.039 0.032 0.063 0.016 0.031 0.021 0.022 0.022 0.062 0.049 0.056 0.004 0.017 
0.046 0.006 0.324 0.096 0.012 0.052 0.017 0.022 0.045 0.036 0.009 0.069 0.038 0.039 0.031 0.069 0.044 0.025 0.004 0.015 
0.060 0.008 0.084 0.252 0.020 0.034 0.022 0.023 0.075 0.047 0.015 0.045 0.039 0.064 0.051 0.057 0.045 0.033 0.006 0.020 
0.041 0.012 0.018 0.034 0.281 0.029 0.019 0.062 0.026 0.128 0.026 0.019 0.021 0.017 0.028 0.039 0.039 0.056 0.017 0.087 
0.074 0.008 0.041 0.031 0.016 0.428 0.014 0.022 0.037 0.036 0.012 0.045 0.031 0.025 0.025 0.071 0.036 0.025 0.006 0.016 
0.049 0.009 0.043 0.065 0.033 0.044 0.231 0.023 0.061 0.048 0.019 0.058 0.032 0.052 0.053 0.059 0.037 0.027 0.006 0.052 
0.063 0.011 0.022 0.026 0.043 0.028 0.009 0.190 0.031 0.155 0.039 0.024 0.026 0.021 0.021 0.038 0.048 0.172 0.007 0.027 
0.058 0.008 0.041 0.077 0.016 0.042 0.022 0.028 0.231 0.045 0.014 0.044 0.038 0.062 0.100 0.070 0.044 0.032 0.006 0.020 
0.050 0.011 0.022 0.033 0.054 0.029 0.012 0.096 0.031 0.312 0.050 0.019 0.021 0.027 0.027 0.038 0.048 0.086 0.008 0.027 
0.060 0.011 0.021 0.040 0.041 0.034 0.018 0.091 0.037 0.187 0.119 0.029 0.025 0.040 0.033 0.046 0.046 0.082 0.010 0.032 
0.059 0.011 0.083 0.062 0.016 0.067 0.028 0.028 0.058 0.036 0.015 0.224 0.031 0.040 0.040 0.089 0.056 0.032 0.005 0.020 
0.055 0.006 0.038 0.046 0.015 0.039 0.013 0.026 0.043 0.034 0.011 0.026 0.453 0.029 0.024 0.052 0.042 0.030 0.005 0.015 
0.057 0.008 0.050 0.095 0.015 0.041 0.027 0.027 0.090 0.056 0.022 0.043 0.037 0.193 0.062 0.069 0.043 0.031 0.009 0.024 
0.049 0.007 0.034 0.065 0.021 0.035 0.023 0.023 0.123 0.048 0.015 0.037 0.025 0.052 0.268 0.059 0.047 0.034 0.006 0.026 
0.092 0.013 0.051 0.049 0.020 0.066 0.017 0.028 0.058 0.045 0.014 0.055 0.038 0.039 0.040 0.222 0.088 0.040 0.005 0.020 
0.076 0.014 0.042 0.050 0.026 0.043 0.014 0.046 0.047 0.074 0.019 0.045 0.039 0.032 0.041 0.115 0.183 0.066 0.006 0.020 
0.078 0.014 0.022 0.033 0.033 0.028 0.009 0.149 0.031 0.122 0.031 0.023 0.025 0.021 0.027 0.047 0.059 0.214 0.006 0.026 
0.039 0.006 0.017 0.033 0.053 0.036 0.012 0.030 0.031 0.061 0.019 0.019 0.020 0.033 0.027 0.030 0.030 0.034 0.417 0.053 
0.050 0.009 0.028 0.042 0.107 0.036 0.037 0.047 0.039 0.077 0.025 0.030 0.026 0.033 0.043 0.047 0.038 0.054 0.021 0.212 

BLOSUM30-conditional probabilities
0.128 0.011 0.052 0.061 0.030 0.067 0.017 0.056 0.058 0.079 0.026 0.044 0.042 0.045 0.044 0.081 0.064 0.073 0.006 0.018 
0.054 0.195 0.038 0.079 0.029 0.043 0.012 0.047 0.043 0.101 0.019 0.043 0.035 0.033 0.042 0.059 0.047 0.054 0.010 0.015 
0.075 0.011 0.183 0.072 0.020 0.059 0.017 0.033 0.059 0.080 0.015 0.051 0.042 0.035 0.044 0.071 0.049 0.049 0.007 0.028 
0.075 0.019 0.061 0.145 0.023 0.052 0.022 0.038 0.078 0.081 0.020 0.039 0.056 0.053 0.045 0.072 0.043 0.043 0.011 0.024 
0.058 0.011 0.027 0.037 0.165 0.046 0.015 0.058 0.052 0.125 0.018 0.040 0.029 0.027 0.045 0.064 0.044 0.076 0.015 0.049 
0.078 0.010 0.048 0.049 0.028 0.214 0.015 0.051 0.053 0.073 0.018 0.047 0.044 0.031 0.040 0.074 0.045 0.044 0.015 0.022 
0.059 0.009 0.042 0.065 0.028 0.047 0.161 0.045 0.047 0.084 0.032 0.041 0.059 0.042 0.046 0.065 0.045 0.045 0.006 0.033 
0.074 0.013 0.030 0.041 0.040 0.059 0.017 0.129 0.044 0.121 0.027 0.045 0.032 0.030 0.033 0.062 0.056 0.112 0.008 0.027 
0.076 0.011 0.053 0.084 0.036 0.060 0.017 0.044 0.104 0.071 0.031 0.046 0.057 0.040 0.060 0.073 0.050 0.050 0.010 0.028 
0.065 0.017 0.046 0.055 0.054 0.052 0.019 0.075 0.045 0.162 0.031 0.034 0.032 0.030 0.039 0.054 0.057 0.075 0.009 0.048 
0.087 0.013 0.035 0.055 0.031 0.052 0.030 0.066 0.079 0.124 0.054 0.045 0.028 0.035 0.052 0.055 0.058 0.065 0.008 0.028 
0.076 0.015 0.061 0.055 0.036 0.069 0.020 0.058 0.060 0.071 0.024 0.138 0.033 0.035 0.039 0.073 0.066 0.050 0.005 0.018 
0.065 0.011 0.045 0.071 0.023 0.059 0.025 0.037 0.067 0.061 0.013 0.029 0.223 0.040 0.044 0.062 0.056 0.037 0.008 0.024 
0.085 0.013 0.045 0.082 0.026 0.051 0.022 0.043 0.058 0.070 0.020 0.039 0.049 0.120 0.077 0.062 0.057 0.042 0.011 0.027 
0.067 0.013 0.047 0.056 0.036 0.053 0.020 0.038 0.069 0.072 0.024 0.035 0.044 0.062 0.159 0.064 0.039 0.058 0.013 0.033 
0.087 0.013 0.053 0.063 0.036 0.069 0.020 0.050 0.060 0.071 0.018 0.045 0.043 0.035 0.045 0.126 0.076 0.057 0.008 0.024 
0.086 0.013 0.046 0.047 0.030 0.051 0.017 0.056 0.051 0.092 0.023 0.051 0.049 0.040 0.034 0.094 0.113 0.074 0.006 0.027 
0.087 0.013 0.040 0.042 0.047 0.045 0.015 0.100 0.045 0.107 0.024 0.034 0.028 0.026 0.045 0.063 0.066 0.130 0.008 0.037 
0.039 0.013 0.032 0.057 0.049 0.082 0.012 0.039 0.047 0.074 0.016 0.018 0.034 0.036 0.054 0.050 0.030 0.045 0.208 0.067 
0.043 0.007 0.046 0.048 0.062 0.045 0.022 0.050 0.052 0.141 0.020 0.026 0.037 0.035 0.051 0.055 0.050 0.075 0.025 0.111 





























